place_id,place_name,area,place_type,maps_url,noise_level,crowd_level,table_capacity,wifi_quality,power_outlet_availability,average_price,distance_to_binus_km,open_time,close_time,open_on_sundays,open_minutes,close_minutes,is_24_hours,closes_next_day,opening_duration_hours
22,Yoshinoya Binus Alam Sutera,BINUS Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/kedUkijfm8WKciLh8,3,3,4,1,2,50000,0.0,08:00,17:45,0,480,1065,0,0,9.75
23,KFC Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/A8kX7B7r8Pa12jxU8,3,2,4,1,2,50000,2.5,08:00,23:00,1,480,1380,0,0,15.0
24,1/15 Coffee Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/dkXVdXBFuCkT1VD7A?g_st=ac,3,4,4,5,3,75000,1.6,07:00,21:00,1,420,1260,0,0,14.0
25,"NOB Coffee & Eatery, The Grove Alam Sutera",Alam Sutera,Cafe,https://maps.app.goo.gl/XkEb1fC6r8Zyc1oC6?g_st=ac,3,3,4,3,3,75000,2.9,08:00,22:00,1,480,1320,0,0,14.0
26,FÜTOPIA - Mall Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/dpGhcckKFX2UCR8aA?g_st=ac,3,3,4,2,3,50000,0.7,10:00,22:00,1,600,1320,0,0,12.0
27,Solaria - Mall @ Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/xfuBB5EQpH4ruyHGA,3,3,4,1,2,60000,0.7,10:00,22:00,1,600,1320,0,0,12.0
28,Coarse & Fine,Alam Sutera,Cafe,https://maps.app.goo.gl/5vP2qeWb2C7o27uq5?g_st=ac,2,2,4,3,3,90000,2.6,08:00,18:00,1,480,1080,0,0,10.0
29,J.CO DONUTS & COFFEE - MALL ALAM SUTERA,Alam Sutera,Cafe,https://maps.app.goo.gl/LKtVokwDNp9tv5wy6,3,3,2,4,2,50000,0.7,10:00,22:00,1,600,1320,0,0,12.0
30,Mixue Mall @ Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/ARBbM9LDWC7co3a37,3,3,4,1,2,20000,0.7,10:00,22:00,1,600,1320,0,0,12.0
31,BINUS Alam Sutera Canteen,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,5,5,6,3,1,20000,0.0,07:00,19:00,0,420,1140,0,0,12.0
32,Platon Coffee,Alam Sutera,Cafe,https://maps.app.goo.gl/njDJYns8n4GbQTn8A,3,3,4,5,5,60000,3.5,08:00,20:00,1,480,1200,0,0,12.0
33,Coffee Melantjong,Alam Sutera,Cafe,https://maps.app.goo.gl/9SPrHmeYzRc7ZbQY6?g_st=ac,3,3,4,3,1,60000,2.6,07:00,22:00,1,420,1320,0,0,15.0
34,Kopi Nako Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/mzpNHiA97wjaHvmXA,4,4,6,3,3,50000,2.2,09:00,20:00,1,540,1200,0,0,11.0
35,Two Stories Resto & Lounge,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/FTQGbdiW11xiM9qK9,3,3,4,3,4,150000,2.2,10:00,23:59,1,600,1439,0,0,13.983333333333333
36,Jakarta Coffee House Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/fw5KDdZDCNCRgrcG8,2,2,4,4,4,75000,2.4,08:00,23:59,1,480,1439,0,0,15.983333333333333
37,Casabrew Coffee,Alam Sutera,Cafe,https://maps.app.goo.gl/nRLuZDg2huaw6M7H9,3,3,2,4,5,50000,2.8,09:00,19:00,1,540,1140,0,0,10.0
38,Niv Coffee,Alam Sutera,Cafe,https://maps.app.goo.gl/bp3ga88ZPfp3nD5M7?g_st=ac,2,2,4,4,3,40000,2.5,08:00,20:00,1,480,1200,0,0,12.0
39,Aruku Coffee and Studio Gading Serpong,Gading Serpong,Cafe,https://maps.app.goo.gl/cLfBUfsp3ShthTpdA?g_st=ac,3,3,4,4,4,65000,11.0,07:00,22:00,1,420,1320,0,0,15.0
40,Unspoken Coffee,Gading Serpong,Cafe,https://maps.app.goo.gl/nzLkX3jtb7t1KFmb7?g_st=ac,3,3,2,4,5,40000,10.0,09:00,20:00,1,540,1200,0,0,11.0
